SYMBOL,COUNTRY,SECURITYNAME,SECTOR,INDUSTRY,CURRENCY
'ROP','US','Roper Technologies','Information Technology','Electronic Equipment & Instruments','USD'
'ROST','US','Ross Stores','Consumer Discretionary','Apparel Retail','USD'
'RCL','US','Royal Caribbean Group','Consumer Discretionary','Hotels, Resorts & Cruise Lines','USD'
'SPGI','US','S&P Global','Financials','Financial Exchanges & Data','USD'
'CRM','US','Salesforce','Information Technology','Application Software','USD'
'SBAC','US','SBA Communications','Real Estate','Telecom Tower REITs','USD'
'SLB','US','Schlumberger','Energy','Oil & Gas Equipment & Services','USD'
'STX','US','Seagate Technology','Information Technology','Technology Hardware, Storage & Peripherals','USD'
'SEE','US','Sealed Air','Materials','Paper & Plastic Packaging Products & Materials','USD'
'SRE','US','Sempra Energy','Utilities','Multi-Utilities','USD'
'NOW','US','ServiceNow','Information Technology','Systems Software','USD'
'SHW','US','Sherwin-Williams','Materials','Specialty Chemicals','USD'
'SPG','US','Simon Property Group','Real Estate','Retail REITs','USD'
'SWKS','US','Skyworks Solutions','Information Technology','Semiconductors','USD'
'SJM','US','J.M. Smucker CompanyThe)','Consumer Staples','Packaged Foods & Meats','USD'
'SNA','US','Snap-on','Industrials','Industrial Machinery & Supplies & Components','USD'
'SEDG','US','SolarEdge','Information Technology','Semiconductor Materials & Equipment','USD'
'SO','US','Southern Company','Utilities','Electric Utilities','USD'
'LUV','US','Southwest Airlines','Industrials','Passenger Airlines','USD'
'SWK','US','Stanley Black & Decker','Industrials','Industrial Machinery & Supplies & Components','USD'
'SBUX','US','Starbucks','Consumer Discretionary','Restaurants','USD'
'STT','US','State Street Corporation','Financials','Asset Management & Custody Banks','USD'
'STLD','US','Steel Dynamics','Materials','Steel','USD'
'STE','US','Steris','Health Care','Health Care Equipment','USD'
'SYK','US','Stryker Corporation','Health Care','Health Care Equipment','USD'
'SYF','US','Synchrony Financial','Financials','Consumer Finance','USD'
'SNPS','US','Synopsys','Information Technology','Application Software','USD'
'SYY','US','Sysco','Consumer Staples','Food Distributors','USD'
'TMUS','US','T-Mobile US','Communication Services','Wireless Telecommunication Services','USD'
'TROW','US','T. Rowe Price','Financials','Asset Management & Custody Banks','USD'
'TTWO','US','Take-Two Interactive','Communication Services','Interactive Home Entertainment','USD'
'TPR','US','Tapestry, Inc.','Consumer Discretionary','Apparel, Accessories & Luxury Goods','USD'
'TRGP','US','Targa Resources','Energy','Oil & Gas Storage & Transportation','USD'
'TGT','US','Target Corporation','Consumer Staples','Consumer Staples Merchandise Retail','USD'
'TEL','US','TE Connectivity','Information Technology','Electronic Manufacturing Services','USD'
'TDY','US','Teledyne Technologies','Information Technology','Electronic Equipment & Instruments','USD'
'TFX','US','Teleflex','Health Care','Health Care Equipment','USD'
'TER','US','Teradyne','Information Technology','Semiconductor Materials & Equipment','USD'
'TSLA','US','Tesla, Inc.','Consumer Discretionary','Automobile Manufacturers','USD'
'TXN','US','Texas Instruments','Information Technology','Semiconductors','USD'
'TXT','US','Textron','Industrials','Aerospace & Defense','USD'
'TMO','US','Thermo Fisher Scientific','Health Care','Life Sciences Tools & Services','USD'
'TJX','US','TJX Companies','Consumer Discretionary','Apparel Retail','USD'
'TSCO','US','Tractor Supply','Consumer Discretionary','Specialty Stores','USD'
'TT','US','Trane Technologies','Industrials','Building Products','USD'
'TDG','US','TransDigm Group','Industrials','Aerospace & Defense','USD'
'TRV','US','Travelers CompaniesThe)','Financials','Property & Casualty Insurance','USD'
'TRMB','US','Trimble Inc.','Information Technology','Electronic Equipment & Instruments','USD'
'TFC','US','Truist','Financials','Regional Banks','USD'
'TYL','US','Tyler Technologies','Information Technology','Application Software','USD'
'TSN','US','Tyson Foods','Consumer Staples','Packaged Foods & Meats','USD'
'USB','US','U.S. Bank','Financials','Diversified Banks','USD'
'UDR','US','UDR, Inc.','Real Estate','Residential REITs','USD'
'ULTA','US','Ulta Beauty','Consumer Discretionary','Specialty Stores','USD'
'UNP','US','Union Pacific Corporation','Industrials','Rail Transportation','USD'
'UAL','US','United Airlines Holdings','Industrials','Passenger Airlines','USD'
'UPS','US','United Parcel Service','Industrials','Air Freight & Logistics','USD'
'URI','US','United Rentals','Industrials','Trading Companies & Distributors','USD'
'UNH','US','UnitedHealth Group','Health Care','Managed Health Care','USD'
'UHS','US','Universal Health Services','Health Care','Health Care Facilities','USD'
'VLO','US','Valero Energy','Energy','Oil & Gas Refining & Marketing','USD'
'VTR','US','Ventas','Real Estate','Health Care REITs','USD'
'VRSN','US','Verisign','Information Technology','Internet Services & Infrastructure','USD'
'VRSK','US','Verisk','Industrials','Research & Consulting Services','USD'
'VZ','US','Verizon','Communication Services','Integrated Telecommunication Services','USD'
'VRTX','US','Vertex Pharmaceuticals','Health Care','Biotechnology','USD'
'VFC','US','VF Corporation','Consumer Discretionary','Apparel, Accessories & Luxury Goods','USD'
'VTRS','US','Viatris','Health Care','Pharmaceuticals','USD'
'VICI','US','Vici Properties','Real Estate','Hotel & Resort REITs','USD'
'V','US','Visa Inc.','Financials','Transaction & Payment Processing Services','USD'
'VMC','US','Vulcan Materials Company','Materials','Construction Materials','USD'
'WAB','US','Wabtec','Industrials','Construction Machinery & Heavy Transportation Equipment','USD'
'WBA','US','Walgreens Boots Alliance','Consumer Staples','Drug Retail','USD'
'WMT','US','Walmart','Consumer Staples','Consumer Staples Merchandise Retail','USD'
'WBD','US','Warner Bros. Discovery','Communication Services','Broadcasting','USD'
'WM','US','Waste Management','Industrials','Environmental & Facilities Services','USD'
'WAT','US','Waters Corporation','Health Care','Health Care Distributors','USD'
'WEC','US','WEC Energy Group','Utilities','Electric Utilities','USD'
'WFC','US','Wells Fargo','Financials','Diversified Banks','USD'
'WELL','US','Welltower','Real Estate','Health Care REITs','USD'
'WST','US','West Pharmaceutical Services','Health Care','Health Care Supplies','USD'
'WDC','US','Western Digital','Information Technology','Technology Hardware, Storage & Peripherals','USD'
'WRK','US','WestRock','Materials','Paper & Plastic Packaging Products & Materials','USD'
'WY','US','Weyerhaeuser','Real Estate','Timber REITs','USD'
'WHR','US','Whirlpool Corporation','Consumer Discretionary','Household Appliances','USD'
'WMB','US','Williams Companies','Energy','Oil & Gas Storage & Transportation','USD'
'WTW','US','Willis Towers Watson','Financials','Insurance Brokers','USD'
'GWW','US','W. W. Grainger','Industrials','Industrial Machinery & Supplies & Components','USD'
'WYNN','US','Wynn Resorts','Consumer Discretionary','Casinos & Gaming','USD'
'XEL','US','Xcel Energy','Utilities','Multi-Utilities','USD'
'XYL','US','Xylem Inc.','Industrials','Industrial Machinery & Supplies & Components','USD'
'YUM','US','Yum! Brands','Consumer Discretionary','Restaurants','USD'
'ZBRA','US','Zebra Technologies','Information Technology','Electronic Equipment & Instruments','USD'
'ZBH','US','Zimmer Biomet','Health Care','Health Care Equipment','USD'
'ZION','US','Zions Bancorporation','Financials','Regional Banks','USD'
'ZTS','US','Zoetis','Health Care','Pharmaceuticals','USD'
