SYMBOL,COUNTRY,SECURITYNAME,SECTOR,INDUSTRY,CURRENCY
'SCHW','US','Charles Schwab Corporation','Financials','Investment Banking & Brokerage','USD'
'CHTR','US','Charter Communications','Communication Services','Cable & Satellite','USD'
'CVX','US','Chevron Corporation','Energy','Integrated Oil & Gas','USD'
'CMG','US','Chipotle Mexican Grill','Consumer Discretionary','Restaurants','USD'
'CB','US','Chubb Limited','Financials','Property & Casualty Insurance','USD'
'CHD','US','Church & Dwight','Consumer Staples','Household Products','USD'
'CI','US','Cigna','Health Care','Managed Health Care','USD'
'CINF','US','Cincinnati Financial','Financials','Property & Casualty Insurance','USD'
'CTAS','US','Cintas','Industrials','Diversified Support Services','USD'
'CSCO','US','Cisco','Information Technology','Communications Equipment','USD'
'C','US','Citigroup','Financials','Diversified Banks','USD'
'CFG','US','Citizens Financial Group','Financials','Regional Banks','USD'
'CLX','US','Clorox','Consumer Staples','Household Products','USD'
'CME','US','CME Group','Financials','Financial Exchanges & Data','USD'
'CMS','US','CMS Energy','Utilities','Multi-Utilities','USD'
'KO','US','Coca-Cola CompanyThe)','Consumer Staples','Soft Drinks & Non-alcoholic Beverages','USD'
'CTSH','US','Cognizant','Information Technology','IT Consulting & Other Services','USD'
'CL','US','Colgate-Palmolive','Consumer Staples','Household Products','USD'
'CMCSA','US','Comcast','Communication Services','Cable & Satellite','USD'
'CMA','US','Comerica','Financials','Diversified Banks','USD'
'CAG','US','Conagra Brands','Consumer Staples','Packaged Foods & Meats','USD'
'COP','US','ConocoPhillips','Energy','Oil & Gas Exploration & Production','USD'
'ED','US','Consolidated Edison','Utilities','Electric Utilities','USD'
'STZ','US','Constellation Brands','Consumer Staples','Distillers & Vintners','USD'
'CEG','US','Constellation Energy','Utilities','Multi-Utilities','USD'
'COO','US','CooperCompanies','Health Care','Health Care Supplies','USD'
'CPRT','US','Copart','Industrials','Diversified Support Services','USD'
'GLW','US','Corning Inc.','Information Technology','Electronic Components','USD'
'CTVA','US','Corteva','Materials','Fertilizers & Agricultural Chemicals','USD'
'CSGP','US','CoStar Group','Industrials','Research & Consulting Services','USD'
'COST','US','Costco','Consumer Staples','Consumer Staples Merchandise Retail','USD'
'CTRA','US','Coterra','Energy','Oil & Gas Exploration & Production','USD'
'CCI','US','Crown Castle','Real Estate','Telecom Tower REITs','USD'
'CSX','US','CSX','Industrials','Rail Transportation','USD'
'CMI','US','Cummins','Industrials','Industrial Machinery & Supplies & Components','USD'
'CVS','US','CVS Health','Health Care','Health Care Services','USD'
